CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.029650120064616203" 
1, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.05100955069065094" 
1, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.06283058226108551" 
1, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.048785381019115448" 
1, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.063858099281787872" 
2, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x)))" 
2, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x)))" 
2, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.18786025047302246" 
2, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.072973176836967468" 
2, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.083497077226638794" 
2, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.054328307509422302" 
2, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.064114056527614594" 
2, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.082916036248207092" 
2, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.11014111340045929" 
2, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.13841420412063599" 
2, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.24560147523880005" 
2, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.870913*((1.+(0.00199557*x))/(1.+(0.00214366*x))))-0.053674358874559402" 
